,label,text
1534,1,John scratched his arm and the boy who knew Mary scratched her arm.
5759,1,Many soldiers have claimed bottled water satisfies thirst best.
5951,1,I ordered that John drink his beer.
55,1,The witch went into the forest and thereby vanished.
5321,0,"Will, after John comes home, Sally take a shower?"
3462,0,much clue is needed.
1278,1,Tony has a Fiat and yearns for a tall nurse.
4859,0,The politician denied how the opponent was poisoned.
8160,0,I persuaded there to be a problem.
5071,0,I believe that the world is round strongly.
2036,1,Jake kicked the ball all the way to Bill.
5942,1,The horse was ridden by the jockey.
5982,1,Dane is a doctor.
8276,0,Gilgamesh never has flown a dragon.
7344,1,I gave the charity.
960,0,John meets often Mary.
3653,1,John sounded happy.
655,1,John rolled the ball from the tree to the bush.
7950,0,I am having eaten seaweed.
7957,1,Benjamin said he would run away and he did.
8477,0,The bears sniffs
4663,1,John kicked him.
5446,0,He's more reliable a man.
3193,0,Innocent victims murder easily.
3413,1,The book costs $10.
7322,0,I put the book.
3503,1,The boat floated down the river sank.
604,1,Hail stones broke the window.
1724,0,Joan plays and sings folk songs a wonderful old guitar from Spain.
4251,1,Harry says that Sally dislikes him.
5698,1,The man killed the king with the knife.
4078,1,Tom seems eager for her brother to catch a cold.
2631,0,Doug cleared at the table of dishes.
7026,1,Kim alienates cats and beat his dog.
6263,1,To behave oneself in public is expected.
26,0,Harry coughed us into a fit.
3365,0,In the corner lay a dog.
863,1,It's to Mary that Joe said Holly can talk.
1720,1,Mary and an old friend who comes from Miami kissed.
3395,1,She waltzed across the floor.
3865,1,Frank threw himself into the sofa.
5291,1,I think that the trolls will take the shepherd tomorrow.
4812,1,I am not certain about when he will come.
1050,1,Every man lifted a table.
3786,1,They would inform Mary of any success they have made.
4509,1,"The president could not approve the bill, couldn't he?"
4139,1,"If John wants to succeed in corporate life, he has to know the rules of the game."
2035,1,Jake threw the ball halfway to Bill.
7300,1,She sold the car to Sam for five dollars.
5357,1,John is more than 6 feet tall.
7123,1,We talked about the issues we had worked on as students and that our perspectives had changed over the years.
4144,1,You is the only person that I can rely on.
4662,1,The ball was kicked by him.
8354,1,Ron expected the sack.
6646,1,"Very heavy, this parcel!"
532,1,Fruit at once hit the roof from the tree.
2761,1,She held his arm.
1965,1,Bill believes Anna and him to be similar.
5617,0,Bunnies carrots eat.
8458,1,Quickly kiss Anson!
7446,0,Mary thinks for Bill to come.
8239,0,She wanted to can leave
681,1,John learned French immediately.
4173,1,Many of the people were dying of thirst.
1431,0,The hat which that I brought seemed strange to the nurse was a fedora.
4608,1,The new policy was approved by the executive committee.
4856,0,Who do you think that has given the tickets to Bill?
2798,1,Paula hit Deirdre on the back.
6341,1,John seems to like pictures of himself.
7368,1,Mary will complete her exam within an hour.
2997,1,To win the prize :would thrill me.
5885,1,Doug went to Chicago.
6425,1,Birds fly.
1190,0,The man who I read a statement which was about is sick.
3946,1,John saw Fred.
7148,1,The tourists will go to the park.
6848,1,What place did John send the book?
1059,1,There were five tourists in the room apart from myself.
3009,1,Dorothy needs that dress as a costume.
4563,0,Tagalog is speaks in the Philippines.
6288,1,Horror films disturb Milo.
3486,1,John offers few suggestions.
3075,1,Ellen conferred with Helen about the problem.
616,1,John loaded the truck with bricks.
7717,1,That the world is round is obvious.
6667,1,The terrier attacked the burglar and the terrier savaged the burglar's ankles.
1401,1,The scenes to which the censors took objection had to do with the mixed marriage of a woman and a giant panda.
2937,1,"$100,000 will build you a house."
8016,0,Jason intended for he to learn magic.
7150,1,Some student from Australia speaks Chinese.
4925,1,The person with whom he felt most comfortable left.
3345,0,To him presented itself a wonderful opportunity.
2404,1,Each room sleeps five people.
2527,0,The politician perjured his aide.
7359,1,The war intensified the poverty.
2478,1,Kelly buttered the bread.
5298,1,"John would, because he's such a nice guy, like that."
1504,1,Do you think that he sometimes went there alone?
426,1,John has often kissed Mary.
897,0,A proof that God does exists.
7556,0,I heard that John criticized myself.
3303,1,A large flag fluttered over the fort.
4467,1,He might have left.
7691,0,I sent Bill money to Mary to Sam.
5032,1,This sonata is easy to play on this piano.
5666,1,I doubt his sincerity.
5752,1,Susan rode a bright blue train from New York.
6913,1,This arch supports the weight of the tower.
980,1,The perception of the problem is quite thorough.
2651,1,Carla was shoveling the walk.
6390,1,John talked to a woman who came up to him.
7011,1,Ronnie was talking to Lou.
1068,1,Each other's houses appear to the women to be garish.
1338,1,Fred tore the curtain in rolling up the wallpaper.
8249,0,Dracula thought that himself was the Prince of Darkness.
8406,1,That I should kiss pigs is my fondest dream
4326,1,The cat tries to be out of the bag.
2866,1,Carol carved the marble with a chisel.
2126,1,It is very difficult to get an idea for a book simply from an interview.
67,1,Bill floated down the river for hours.
4478,1,John believes Kim not to leave here.
195,1,"The more people you say that right after the show opens will buy tickets, the happier I'll be."
2714,1,Nora pushed against the chair.
407,1,John believes him to be a nice guy.
1198,1,This is a hat which I'm going to see to it that my wife buys.
3255,1,Idaho potatoes bake beautifully.
7422,1,"Yes, she will."
7628,0,There seems to run many people to the station.
3720,1,I need to have that report on our web page by tomorrow.
1186,1,"I divulged when Bill promised to call me, but I did so reluctantly."
6597,0,"John offered, and Harry gave, Sally a Cadillac."
8409,1,The men chuckle
3780,1,I consider him immoral.
5063,1,Ray found it frustrating that his policies made little impact on poverty.
1113,1,He attributed the fire to a short circuit.
4087,0,Alan is thinking about that his students are eager to learn English.
3789,1,The bus stopped suddenly.
8062,1,He thought that Dracula was the Prince of Darkness.
5213,1,At most three boys didn't see anything.
1641,0,I brought a razor to shave himself with.
1627,0,How brave they must believe the claim that you are!
1170,0,I know a man who John is taller than is.
2104,0,I lent Tony the book partway.
5664,1,I ate the sugar.
1664,1,"Fluffy is sick, which nobody knows."
7500,0,We think for Bill left.
7122,0,Pat was annoyed by that their parents did nothing to stop it.
7980,1,I climbed up the tree.
5944,1,The soldier was given the medal by Phillip.
1526,1,That Jack ever slept is impossible.
8087,1,I tried for to get them.
5210,0,Every boy has any potatoes.
7050,1,She goes and buys some whiskey.
443,1,Mickey slips up all the time.
3450,0,The evidence that John found was more helpful than the one that Smith found.
2674,0,Books send easily to children.
3868,1,"Scientists found that the birds sang well in the evenings, but performed badly in the mornings."
5675,1,I gave Leah the box.
7562,1,John's mother likes him.
5378,0,Enough Sally eats caviar.
3731,0,Our neighbor take his children to school in his car.
7598,1,She put the pictures of Bill on your desk.
2630,1,Doug cleared the table.
5188,1,Generics allow exceptions.
5444,1,He's so reliable a man.
5449,1,Tom was not more reliable than a grasshopper.
1219,1,The sheriff denied that gangsters had bribed him.
2138,1,The window broke.
3185,1,She spruced up before the job interview.
8304,0,Odysseus attempted Odysseus to hear the sirens.
3773,0,Chairman was elected Graham.
7783,1,I asked who Medea gave what?
5573,0,Kiss himself.
4928,1,There is a bench for you to sit on.
1092,0,Here is the snowball which I chased the boy who threw at our teacher.
7109,1,"Leslie is rather foolish, and Lou a complete idiot."
8368,1,How quickly did the Greeks take Troy?
945,1,We like our friends and they like our friends too.
6666,1,The terrier savaged the burglar's ankles.
6911,1,Jim was enthusiastically chopping logs.
689,1,John learned French perfectly immediately.
7172,1,"They play unusual music, and I listen to unusual music."
1011,1,Every boy named Mercury and Venus.
6317,0,Chris said that himself was sad.
1912,0,The hot potato had several hundred people yelling for me to put it down gently.
7331,1,"They cooked, thickened the soup."
7117,1,We talked about Mr. Colson and that he had worked at the.
4934,1,I just know that the Big 12 South teams everyone knew would win actually won the game.
6267,1,Robert is eager to do his homework.
6328,1,Heidi wants to kiss herself.
6626,0,The White Rabbit vanished his watch.
8505,0,The constantly reading Shakespeare satisfied me
4141,1,The characters in Shakespeare's Twelfth Night live in a world that has been turned upside-down.
4250,1,You washed yourself.
6949,1,Tess knocked at the door.
6513,1,John gave the books to Mary and the records to Sue.
4092,1,John tried to make Sam let George ask Bill to keep delivering the mail.
5460,1,I have as many too many marbles as you.
