,label,text
0,negative,"it's so laddish and juvenile , only teenage boys could possibly find it funny ."
1,negative,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .
2,negative,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
3,negative,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .
4,negative,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .
5,negative,a sentimental mess that never rings true .
6,negative,"interesting , but not compelling ."
7,negative,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire ."
8,negative,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle ."
9,negative,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah ."
10,negative,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !"
11,negative,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha ."
12,negative,this 100-minute movie only has about 25 minutes of decent material .
13,negative,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .
14,negative,"on its own , it's not very interesting . as a remake , it's a pale imitation ."
15,negative,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .
16,negative,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films ."
17,negative,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .
18,negative,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '
19,negative,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . ."
20,negative,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep ."
21,negative,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates ."
22,negative,the action clichés just pile up .
23,negative,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast ."
24,negative,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .
25,negative,i didn't laugh . i didn't smile . i survived .
26,negative,"please , someone , stop eric schaeffer before he makes another film ."
27,negative,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
28,negative," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
29,negative,curling may be a unique sport but men with brooms is distinctly ordinary .
30,negative,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set ."
31,negative,there's no getting around the fact that this is revenge of the nerds revisited -- again .
32,negative,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ."
33,negative,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins ."
34,negative,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement ."
35,negative,everything is off .
36,negative,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '"
37,negative,"an easy watch , except for the annoying demeanour of its lead character ."
38,negative,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes ."
39,negative,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion ."
40,negative,"an odd , haphazard , and inconsequential romantic comedy ."
