,label,title,text
594,2,South Africa Ends Phelps Medal Quest, ATHENS (Reuters) - South Africa ruined Michael Phelps's  dream of winning a record eight gold medals at the Athens  Olympics with a stunning victory in the men's 4x100 meters  freestyle final on Sunday.
93910,2,Culpepper Leading Pro Bowl Voting (AP),"AP - Daunte Culpepper was leading Pro Bowl fan balloting through Wednesday with 325,383 votes."
113881,4,PluggedIn: Digital Cameras All the Rage This Christmas," SAN FRANCISCO (Reuters) - When families and friends get  together for the holidays this year, many more of them will use  a digital camera to record those memories."
34813,1,"Britain, Ireland Launch Bid to Close N.Irish Deal", BELFAST (Reuters) - Britain and Ireland resumed their  efforts to close a deal on restoring home rule in Northern  Ireland on Tuesday with expressions of optimism but no  immediate signs of a breakthrough.
71037,2,Hendrick plane crashes en route to NASCAR race,"Hendrick Motorsports ' NASCAR victory celebration was cut short with word that one of the organization 's planes had crashed on its way to the race, killing all 10 people on board."
18602,1,"India, Pakistan Foreign Ministers to Start Talks on Kashmir","Indian and Pakistani foreign ministers today begin two days of talks in New Delhi on divisive issues including Kashmir, as the South Asian neighbors seek to end five decades of hostility that has led to three wars."
86558,3,'Me-too' prescription drugs win support in Tufts study,"An independent academic center at Tufts University said yesterday that critics who blast the American pharmaceutical industry for developing  ""me-too "" prescription drugs are wrong."
34571,4,Ask Jeeves revamps search engine,"Ask Jeeves Inc. has made three significant enhancements to its search engine, as the Emeryville, California company continues to take aim at its much larger competitors in the search space: Google Inc., Microsoft Corp., America Online Inc. and Yahoo Inc."
33405,4,India launches learning satellite,"India launches its first learning satellite, aimed at revolutionising the country's educational network."
70573,3,Kroger officials head back to negotiating table,"It 's back to the negotiating table today for Kroger and a labor union representing 85-hundred employees in three states, including Indiana."
62555,2,Hayes Impresses Early,Jarvis Hayes is keeping Jared Jeffries out of the conversation when it comes to discussing who will start at samll forward for the Wizards.
50653,1,Flu Vaccine Maker's Shipments Suspended,"LONDON - Flu shot shipments by a major vaccine supplier were blocked by British health authorities Tuesday just ahead of the flu season, immediately raising worries that there will be enough vaccine this year.   ""The implications may be significant..."
11351,1,PINOCHET LOSES LEGAL IMMUNITY,Chiles former President General Augusto Pinochet has been stripped of his legal immunity following a ruling by the countrys Supreme Court.
53837,4,Microsoft Lets the Digital Media Play,"Microsoft is making a major push into the entertainment world with the launch this week of its Portable Media Center platform. The software, which will be available first on a device from Creative, allows "
50465,1,"General alters stripes, India watches","Washington, Oct. 4: The weekend reshuffle of Pakistan armys top brass offers a mixed bag for India at a time when New Delhi is banking on the army to advance a peace process which has eluded success in "
64260,1,Iraq to Widen Arms-for-Cash Program,"BAGHDAD, 19 October 2004 - Buoyed by the apparent success of a Baghdad arms-for-cash program, Iraqs interim government yesterday announced plans to extend it to all of the country ahead of scheduled January elections."
8799,1,Iran will never hide nuclear activities: FM,"Iranian Foreign Minister Kamal Kharazi said on Tuesday that Iran would never conduct nuclear activities in hiding, the official IRNA news agency reported."
27467,4,New phones put world in palm of the hand,But are they a niche device for business travelers or a bombshell set to rattle the wireless industry?
21843,2,Missouri's Visit a Major Coup for Troy (AP),AP - Alfred Malone isn't just interested in letting people outside the state know Troy football exists or proving the Trojans can hang in there against a major conference team.
22643,2,Jrme dAmbrosio  My race in Albi,Four is his number! The Belgian driver finished 4th in both his races and still stands 4th in the drivers championship. Will 3 be his lucky number in the next round?
96389,4,Man indicted in eBay fraud,"A San Lorenzo man defrauded eBay users of thousands of dollars in auctions for rare Mickey Mantle and Michael Jordan sports cards, according to a federal grand jury indictment handed up Wednesday in San Jose."
104543,3,Stock Fund Inflow Slows To  $7.17 Bil (Investor's Business Daily),"Investor's Business Daily - A tight election and volatile stock market slowed investor enthusiasm for stock mutual funds in October, but their appetite appeared to increase in November."
107364,2,Red Bull car to make February debut,Red Bull Racing will launch their 2005 Formula One car at the Jerez circuit in southern Spain on February 7. The Austrian energy drink brand bought the British-based Jaguar team from 
80432,3,More Wells Fargo data stolen,"Sensitive customer details are lost in an Atlanta burglary - the third such theft in a year. For the third time in a year, criminals have stolen computers that contained names and sensitive financial information of customers of Wells Fargo  & Co."
40864,3,Bush wants to tap oil reserve,"The Bush administration announced Thursday it would provide US refineries with  ""limited quantities "" of crude oil from the nation 's emergency stockpile to help offset supply "
91534,4,Gmail Users Soon Able to Check E-Mail Via Outlook (Reuters),Reuters - Web search leader Google Inc.\said on Wednesday it will soon make it possible for users of its Gmail service to check their e-mail via Microsoft Outlook or on certain handheld devices such as mobile phones.
111666,1,"Despite 6 refusals, NATO will increase Iraq training staff","BRUSSELS The North Atlantic Treaty Organization agreed on Thursday to enlarge from 60 to 300 the number of personnel stationed in Baghdad to train Iraqi soldiers, but not before there was a contentious discussion with the foreign ministers of six "
46770,2,Vandeweghe 's uncommon ways bear results,"From JR Rider to Nikoloz Tskitishvili to Dennis Rodman, Nuggets general manager Kiki Vandeweghe has raised many eyebrows with his moves."
76599,1,Japanese races to free hostage; hopes fading,Japan raced against the clock yesterday to free a young Japanese hostage in Iraq but had little reason for hope less than a day before the deadline set by al-Qaida-linked militants for his killing.
115259,2,Wake Forest edges Temple,"PHILADELPHIA -- Trent Strickland scored all nine of his points in the last nine minutes, and No. 6 Wake Forest made 5 of 6 free throws in the last two minutes to hold off Temple, 67-64, Monday night."
68691,4,Football games look to score,"A raft of football games are aiming to score with gamers\, but which top the league and which are heading for relegation?"
95154,3,Philly Fed: Factories Slowed in November (Reuters),"Reuters - Factory activity in the U.S.\Mid-Atlantic region slowed in November, but held in positive territory as the outlook for the future bounced back from depressed levels, a survey showed on Thursday."
6106,2,Houllier praises Rafa 's new Liverpool,"Gerard Houllier was angry to read reports about his criticism of Rafael Benitez in the Sunday papers, and insists he believes the Spaniard is doing well at Anfield."
108211,3,Chinese firm in trouble after losing $550m in speculation,"A listed Chinese company that sources jet fuel is in deep trouble after losing $550 million (R3.16 billion) in speculative oil trades, triggering concern over other China-linked stocks on the exchange."
2866,1,Putin questions Iraqi poll plan,Russian leader Vladimir Putin voices doubts over plans to hold elections in Iraq next month.
24698,2,Notre Dame Upsets No. 8 Michigan 28-20 (AP),AP - Notre Dame used an unlikely hero to earn another surprising victory over Michigan. Freshman Darius Walker had two fourth-quarter touchdowns and the Fighting Irish renewed hope for a turnaround season by upsetting the eighth-ranked Wolverines 28-20 on Saturday.
113664,2,Gunners vs. Blues: Soon there may be only one contender,"Chelsea and Arsenal may be the only true contenders for the Premier League title. After Sunday, there could be only one left. If league-leading Chelsea beats the Gunners at Highbury, the Blues "
24451,3,Small Stocks Lead the Way on Wall Street (Reuters),"Reuters - When stocks fell into their deepest hole of the year last month, it was the little guys who scrambled out the trenches the quickest."
